,Tag Code,Date,Location,State/Province,ZIP/PC,Country,First Name,Notes,Years,Location
0,AACT584,,,,,,,,2022.0,El Rosario
1,AAHP562,,,,,,,,2022.0,El Rosario
2,AANY296,,,,,,,,2022.0,El Rosario
3,AAPW156,,,,,,,,2022.0,El Rosario
4,AARG636,,,,,,,,2022.0,Cerro Pelon
5,ABJU326,,,,,,,,2022.0,El Rosario
6,ABMG468,,,,,,,,2022.0,El Rosario
7,ABPA067,,,,,,,,2022.0,El Rosario
8,ABPM129,,,,,,,,2022.0,El Rosario
9,ABPT560,,,,,,,,2022.0,El Rosario
10,ABRL784,,,,,,,,2022.0,El Rosario
11,ABUC953,,,,,,,,2022.0,El Rosario
12,ABUL045,,,,,,,,2022.0,El Rosario
13,ABUR349,,,,,,,,2022.0,El Rosario
14,ABWR816,,,,,,,,2022.0,Cerro Pelon
15,ABWS147,,,,,,,,2022.0,El Rosario
16,ABXU433,,,,,,,,2022.0,El Rosario
17,ABXX245,,,,,,,,2022.0,El Rosario
18,ABXX742,,,,,,,,2022.0,El Rosario
19,ABYL554,,,,,,,,2022.0,El Rosario
20,ACAU249,,,,,,,,2022.0,El Rosario
21,ACBW732,,,,,,,,2022.0,El Rosario
22,ACBZ334,,,,,,,,2022.0,El Rosario
23,ACEE730,,,,,,,,2022.0,El Rosario
24,ACEG589,,,,,,,,2022.0,El Rosario
25,ACGG335,,,,,,,,2022.0,El Rosario
26,ACJG694,,,,,,,,2022.0,El Rosario
27,ACJY489,,,,,,,,2022.0,El Rosario
28,ACJZ048,,,,,,,,2022.0,El Rosario
29,ACLA307,,,,,,,,2022.0,El Rosario
30,ACLB013,,,,,,,,2022.0,El Rosario
31,ACLS033,,,,,,,,2022.0,El Rosario
32,ACLZ745,,,,,,,,2022.0,El Rosario
33,ACNB508,,,,,,,,2022.0,El Rosario
34,ACPG693,,,,,,,,2022.0,El Rosario
35,ACSR743,,,,,,,,2022.0,El Rosario
36,ACSW106,,,,,,,,2022.0,El Rosario
37,ACSZ304,,,,,,,,2022.0,El Rosario
38,ACTA327,,,,,,,,2022.0,El Rosario
39,ACTG764,,,,,,,,2022.0,El Rosario
40,ACTH388,,,,,,,,2022.0,El Rosario
41,ACUG117,,,,,,,,2022.0,El Rosario
42,ACUL421,,,,,,,,2022.0,El Rosario
43,ACUW493,,,,,,,,2022.0,El Rosario
44,ACWG235,,,,,,,,2022.0,El Rosario
45,ACWG739,,,,,,,,2022.0,El Rosario
46,ACWH930,,,,,,,,2022.0,Cerro Pelon
47,ACWN856,,,,,,,,2022.0,Cerro Pelon
48,ACWW652,,,,,,,,2022.0,El Rosario
49,ACWW701,,,,,,,,2022.0,El Rosario
50,ACWX857,,,,,,,,2022.0,El Rosario
51,ACWZ456,,,,,,,,2022.0,El Rosario
52,ACXB534,,,,,,,,2022.0,Cerro Pelon
53,ACXC138,,,,,,,,2022.0,El Rosario
54,ACXC970,,,,,,,,2022.0,El Rosario
55,ACXG324,,,,,,,,2022.0,El Rosario
56,ACXH571,,,,,,,,2022.0,El Rosario
57,ACXL143,,,,,,,,2022.0,El Rosario
58,ACXL768,,,,,,,,2022.0,El Rosario
59,ACXN927,,,,,,,,2022.0,El Rosario
60,ACXS997,,,,,,,,2022.0,Las Palmas
61,ACXU107,,,,,,,,2022.0,El Rosario
62,ACXW015,,,,,,,,2022.0,El Rosario
63,ACXW309,,,,,,,,2022.0,El Rosario
64,ACXX466,,,,,,,,2022.0,El Rosario
65,ACXY638,,,,,,,,2022.0,El Rosario
66,ACXY805,,,,,,,,2022.0,Cerro Pelon
67,ACYJ405,,,,,,,,2022.0,El Rosario
68,ACYX804,,,,,,,,2022.0,El Rosario
69,ACYY387,,,,,,,,2022.0,El Rosario
70,ACYZ411,,,,,,,,2022.0,El Rosario
71,ACZA162,,,,,,,,2022.0,El Rosario
72,AEAM012,,,,,,,,2022.0,El Rosario
73,AEAM219,,,,,,,,2022.0,El Rosario
74,AEBP146,,,,,,,,2022.0,El Rosario
75,AEBP473,,,,,,,,2022.0,Cerro Pelon
76,AEBP562,,,,,,,,2022.0,El Rosario
77,AEBW881,,,,,,,,2022.0,Cerro Pelon
78,AEBW979,,,,,,,,2022.0,El Rosario
79,AECA906,,,,,,,,2022.0,Cerro Pelon
80,AECB492,,,,,,,,2022.0,El Rosario
81,AECG681,,,,,,,,2022.0,El Rosario
82,AECJ433,,,,,,,,2022.0,El Rosario
83,AECJ704,,,,,,,,2022.0,El Rosario
84,AECR369,,,,,,,,2022.0,El Rosario
85,AECT304,,,,,,,,2022.0,El Rosario
86,AECU102,,,,,,,,2022.0,El Rosario
87,AECU456,,,,,,,,2022.0,Cerro Pelon
88,AECW069,,,,,,,,2022.0,El Rosario
89,AECY948,,,,,,,,2022.0,El Rosario
90,AEEA821,,,,,,,,2022.0,El Rosario
91,AEEE273,,,,,,,,2022.0,El Rosario
92,AEEG729,,,,,,,,2022.0,El Rosario
93,AEEH069,,,,,,,,2022.0,El Rosario
94,AEEL334,,,,,,,,2022.0,Cerro Pelon
95,AEEL936,,,,,,,,2022.0,El Rosario
96,AEER760,,,,,,,,2022.0,El Rosario
97,AEET835,,,,,,,,2022.0,El Rosario
98,AEGC131,,,,,,,,2022.0,El Rosario
99,AEGW478,,,,,,,,2022.0,El Rosario
100,AEHU735,,,,,,,,2022.0,El Rosario
101,AEJJ562,,,,,,,,2022.0,El Rosario
102,AEJT237,,,,,,,,2022.0,El Rosario
103,AEJT601,,,,,,,,2022.0,El Rosario
104,AEJW010,,,,,,,,2022.0,El Rosario
105,AEJW383,,,,,,,,2022.0,El Rosario
106,AELG018,,,,,,,,2022.0,Cerro Pelon
107,AELL809,,,,,,,,2022.0,El Rosario
108,AELX135,,,,,,,,2022.0,Cerro Pelon
109,AEMB114,,,,,,,,2022.0,El Rosario
110,AEMC511,,,,,,,,2022.0,El Rosario
111,AEMC623,,,,,,,,2022.0,El Rosario
112,AEME909,,,,,,,,2022.0,El Rosario
113,AEMG347,,,,,,,,2022.0,El Rosario
114,AEMJ311,,,,,,,,2022.0,El Rosario
115,AEMN206,,,,,,,,2022.0,El Rosario
116,AEMP319,,,,,,,,2022.0,El Rosario
117,AEMP901,,,,,,,,2022.0,El Rosario
118,AEMR675,,,,,,,,2022.0,El Rosario
119,AEMT030,,,,,,,,2022.0,El Rosario
120,AEMU158,,,,,,,,2022.0,El Rosario
121,AEMU487,,,,,,,,2022.0,El Rosario
122,AEMW943,,,,,,,,2022.0,El Rosario
123,AEMX280,,,,,,,,2022.0,El Rosario
124,AENT042,,,,,,,,2022.0,El Rosario
125,AENU700,,,,,,,,2022.0,Cerro Pelon
